SWORDFISH,SWORDFISHⅡ
SWORDFISH卫,SWORDFISHⅡ
把钥匙开把锁,一把钥匙开一把锁
把钥匙开一把锁,一把钥匙开一把锁
百炼干锤,百炼千锤
宝钱大享,宝钱大亨
迸入夜雾2,进入夜雾之门
编辑部的己之见,编辑部的一己之见
不变老,不再变老
不鸣神恒常乐土,不动鸣神恒常乐土
不再娈老,不再变老
步登天,一步登天
灿若惊,灿若惊雷
朝着雷囊骤雨,朝着雷霆骤雨
柽三,柊三十郎
柽三郎,柊三十郎
柽三十郎,柊三十郎
次的攻击,一次的攻击
大地勘探雷光所照之士其,大地勘探雷光所照之土其一
大地勘探雷光所照之士其二,大地勘探雷光所照之土其二
大地勘探雷光所照之士土其,大地勘探雷光所照之土其一
大地勘探雷光所照之土其,大地勘探雷光所照之土其一
大黄金丘丘壬,大黄金丘丘王
大荑金丘丘壬,大黄金丘丘王
大荑金丘丘王,大黄金丘丘王
大云,大天云峠
风向是会转娈的,风向是会转变的
浮世浮生干岩间,浮世浮生千岩间
干风拂去,千风拂去
干风散尽还复来,千风散尽还复来
干年雪藏的事,千年雪藏的事
干手百眼天下人间,千手百眼天下人间
干嶂万仞,千嶂万仞
高人等,高人一等
高人等,高人一等
个冬天的童话,一个冬天的童话
更上层楼,更上一层楼
更上层楼,更上一层楼
故人久末归,故人久未归
海祗大将,海祇大将
弧独地融化,孤独地融化
蹇天之钉,寒天之钉
将诸神的力量付之笑,将诸神的力量付之一笑
进入夜雾2,进入夜雾之门
进入夜雾2门,进入夜雾之门
口吃掉了几十万摩拉,一口吃掉了几十万摩拉
跨越雷鸣的大地其,跨越雷鸣的大地其一
跨趱雷鸣的大地其二,跨越雷鸣的大地其二
览众山小,一览众山小
璃月番,璃月一番
璃月番,璃月一番
猎人娈成了猎物,猎人变成了猎物
荬雄之礼,英雄之礼
鸣草丛中的捕手其,鸣草丛中的捕手其一
末来解冻计划,未来解冻计划
你所不知道的,你所不知道的事
派蒙的幸运曰,派蒙的幸运日
碰碰,碰一碰
碰碰,碰一碰
蒲公荬的故乡,蒲公英的故乡
启动跃迂引擎,启动跃迁引擎
褰天之钉,寒天之钉
前尘梦,前尘一梦
前尘芩,前尘一梦
且听我言,且听我一言
清籁透雷记,清籁逐雷记
清籁逶雷记,清籁逐雷记
曲终人末散,曲终人未散
日之寒,一日之寒
日之謇,日之寒
日之褰,一日之寒
如8方升的旅程,如日方升的旅程
洒下甘露三干担,洒下甘露三千担
塞西莉亚苗围,塞西莉亚苗圃
三干里的起点,三千里的起点
少冰无耱,少冰无糖
神戴狂言凌云霄,神戟狂言凌云霄
圣盒巡礼稻妻天领其,圣龛巡礼稻妻天领其一
圣盒巡礼稻妻天领其一,圣龛巡礼稻妻天领其一
圣盒巡礼鹤观,圣龛巡礼鹤观
圣盒巡礼璃月,圣龛巡礼璃月
圣盒巡礼蒙德,圣龛巡礼蒙德
圣龛巡礼稻妻天领其,圣龛巡礼稻妻天领其一
史莱姆耱适量,史莱姆糖适量
是时候征服海祗岛了,是时候征服海祇岛了
烁光引路人其,烁光引路人其一
特斯拉球还流行呜,特斯拉球还流行吗
提瓦特的园丁不畏醅热,提瓦特的园丁不畏酷热
提瓦特的园丁不畏严褰,提瓦特的园丁不畏严寒
天雷圣栽,天雷圣裁
条名叫洛蒂娅的鱼,一条名叫洛蒂娅的鱼
往曰重现,往日重现
威逭风土,威遍风土
为没有眼泪的明天,为了没有眼泪的明天
喂一有人吗,喂有人吗
我作为冒险家的生,我作为冒险家的一生
卧龙藏蝙,卧龙藏螭
卧龙藏螃,卧龙藏螭
线断时,一线断时
乡愁的另头,乡愁的另一头
乡愁的另头,乡愁的另一头
消除焦虑的最妇办法,消除焦虑的最好办法
循雷的冒险家其,循雷的冒险家其一
循雷的寻宝者其,循雷的寻宝者其一
样的月光,一样的月光
一把钥匙开把锁,一把钥匙开一把锁
一步天,一步登天
一日之蹇,一日之寒
一日之褰,一日之寒
异人揆,异人一揆
哟嚯嚯再来瓶蒲公荬酒,哟嚯嚯再来瓶蒲公英酒
有说,有一说一
有说一,有一说一
有一说,有一说一
与位往昔神灵的谈话,与一位往昔神灵的谈话
御守仁义天下,御守仁义天下一
真相只有个,真相只有一个
只要用,只要用心
稚孑敲针作钓钩,稚子敲针作钓钩
终有别,终有一别
